date,description,amount,category,payment_method
2024-01-01,Salary Deposit,5000.00,Income,Direct Deposit
2024-01-02,Grocery Store,85.50,Groceries,Debit Card
2024-01-03,Gas Station,45.00,Transportation,Credit Card
2024-01-04,Netflix Subscription,15.99,Entertainment,Credit Card
2024-01-05,Restaurant,35.75,Dining,Debit Card
2024-01-06,Electric Bill,120.00,Utilities,Auto Pay
2024-01-07,Gym Membership,50.00,Health,Credit Card
2024-01-08,Bookstore,28.99,Books,Debit Card
2024-01-09,Uber Ride,18.50,Transportation,Credit Card
2024-01-10,Coffee Shop,5.75,Dining,Cash
2024-01-11,Online Shopping,156.00,Shopping,Credit Card
2024-01-12,Water Bill,40.00,Utilities,Auto Pay
2024-01-13,Pharmacy,32.50,Health,Debit Card
2024-01-14,Movie Theater,25.00,Entertainment,Debit Card
2024-01-15,Salary Deposit,5000.00,Income,Direct Deposit
2024-01-16,Grocery Store,92.30,Groceries,Debit Card
2024-01-17,Gas Station,50.00,Transportation,Credit Card
2024-01-18,Internet Bill,75.00,Utilities,Auto Pay
2024-01-19,Restaurant,42.00,Dining,Debit Card
2024-01-20,Book Purchase,19.99,Books,Credit Card
